Survey,Year,Cruise Join ID,Haul Join ID,Catch Join ID,Vessel Number,Cruise Number,Haul Number,Starting Latitude (dd),Starting Longitude (dd),Ending Latitude (dd),Ending Longitude (dd),Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Domain,Density,Gear Performance,Satisfactory Gear Performance,Gear Performance Note,Gear Depth,Bottom Depth,Surface Temperature (C),Gear Temperature (C),Distance Fished (km),Net Width (m) ,Species Code,Common Name,Scientific Name,Weight (kg),Number of Fish,Effort (km2),Weight CPUE (kg/km2),Number CPUE (number/km2),akfin_load_date
GOA,2013,-687,-10447,-289148,176,201301,198,57.40728,-151.53553,57.39669,-151.51848,31,Kodiak,1,100,Albatross Banks,CENTRAL GOA,SHELF,,,0,Y,Good performance,89,95,10.2,6,1.574,15.581,21720,Pacific cod,Gadus macrocephalus,125.92,124,0.024524494,5134.458636,5056.169558,29-Sep-21
GOA,2013,-687,-10448,-289160,176,201301,199,58.10604,-151.81161,58.11,-151.78685,30,Kodiak,1,100,Albatross Shallows,CENTRAL GOA,SHELF,,,0,Y,Good performance,87,95,8.6,6.4,1.534,13.677,21720,Pacific cod,Gadus macrocephalus,91.532,127,0.020980518,4362.714019,6053.23472,29-Sep-21
GOA,2013,-687,-10683,-289323,176,201301,205,57.47682,-150.81623,57.46311,-150.81903,31,Kodiak,1,100,Albatross Banks,CENTRAL GOA,SHELF,,,0,Y,Good performance,89,94,10.8,5.7,1.536,16.112,21720,Pacific cod,Gadus macrocephalus,4.96,8,0.024748032,200.4199768,323.2580271,29-Sep-21
GOA,2013,-687,-10686,-289457,176,201301,208,57.46195,-150.63042,57.47523,-150.63157,134,Kodiak,101,200,Kodiak Outer Shelf,CENTRAL GOA,SHELF,,,0,Y,Good performance,98,103,11.4,5.4,1.484,15.414,21720,Pacific cod,Gadus macrocephalus,7.5,2,0.022874376,327.8777965,87.43407908,29-Sep-21
GOA,2013,-687,-10687,-289475,176,201301,209,57.41116,-150.67964,57.41873,-150.65892,134,Kodiak,101,200,Kodiak Outer Shelf,CENTRAL GOA,SHELF,,,0,Y,Good performance,132,137,11.1,5.3,1.507,15.961,21720,Pacific cod,Gadus macrocephalus,13.2,4,0.024053227,548.7829138,166.2978527,29-Sep-21
GOA,2013,-687,-10688,-289489,176,201301,210,57.45565,-150.60563,57.46512,-150.58595,134,Kodiak,101,200,Kodiak Outer Shelf,CENTRAL GOA,SHELF,,,6.41,Y,Tow speed below minimum survey standard speed,115,120,11,5.4,1.59,16.09,21720,Pacific cod,Gadus macrocephalus,24.16,5,0.0255831,944.373434,195.4415219,29-Sep-21
GOA,2013,-687,-10702,-289782,176,201301,224,58.31016,-149.50865,58.31579,-149.53051,131,Kodiak,101,200,Portlock Flats,CENTRAL GOA,SHELF,,,0,Y,Good performance,143,147,12.3,5.3,1.432,17.411,21720,Pacific cod,Gadus macrocephalus,121.21,34,0.024932552,4861.515981,1363.679097,29-Sep-21
GOA,2009,-638,-5091,-142343,159,200901,126,56.33993,-154.3089,56.33741,-154.2849,22,Chirikof,1,100,Chirikof Bank,CENTRAL GOA,SHELF,,,0,Y,Good performance,80,86,,,1.531,15.303,21720,Pacific cod,Gadus macrocephalus,58.84,38,0.023428893,2511.428944,1621.928958,29-Sep-21
GOA,2009,-638,-5095,,159,200901,130,56.32578,-155.91789,56.31246,-155.9222,121,Chirikof,101,200,Shelikof Edge,CENTRAL GOA,SHELF,,,0,Y,Good performance,177,183,7.8,4.7,1.532,16.804,21720,Pacific cod,Gadus macrocephalus,0,0,0.025743728,0,0,29-Sep-21
GOA,2009,-638,-5104,,159,200901,139,55.98908,-154.5919,55.9897,-154.56551,320,Chirikof,301,500,Chirikof Slope,CENTRAL GOA,SLOPE,,,0,Y,Good performance,438,443,7.9,4.7,1.658,16.873,21720,Pacific cod,Gadus macrocephalus,0,0,0.027975434,0,0,29-Sep-21
GOA,2009,-638,-5106,-142633,159,200901,141,56.35972,-153.90981,56.35607,-153.8855,31,Kodiak,1,100,Albatross Banks,CENTRAL GOA,SHELF,,,0,Y,Good performance,86,93,7.4,5,1.576,15.386,21720,Pacific cod,Gadus macrocephalus,87.5,64,0.024248336,3608.495032,2639.356367,29-Sep-21
GOA,2009,-638,-5109,-142689,159,200901,144,56.20578,-153.9295,56.20344,-153.9064,134,Kodiak,101,200,Kodiak Outer Shelf,CENTRAL GOA,SHELF,,,0,Y,Good performance,166,173,8.4,4.9,1.482,14.894,21720,Pacific cod,Gadus macrocephalus,11.61,9,0.022072908,525.9841612,407.7396599,29-Sep-21
GOA,2009,-638,-5484,-133462,159,200901,155,57.16239,-152.02139,57.14922,-152.02071,31,Kodiak,1,100,Albatross Banks,CENTRAL GOA,SHELF,,,0,Y,Good performance,72,79,9.2,6,1.488,14.339,21720,Pacific cod,Gadus macrocephalus,5.35,10,0.021336432,250.7448293,468.681924,29-Sep-21
GOA,2009,-638,-5489,-133544,159,200901,160,57.21524,-151.8311,57.22195,-151.8051,31,Kodiak,1,100,Albatross Banks,CENTRAL GOA,SHELF,,,0,Y,Good performance,51,58,9.5,6.5,1.769,14.942,21720,Pacific cod,Gadus macrocephalus,66.08,165,0.026432398,2499.962357,6242.33942,29-Sep-21
GOA,2009,-638,-5492,,159,200901,163,57.13061,-151.14301,57.12251,-151.1626,231,Kodiak,201,300,Kodiak Slope,CENTRAL GOA,SLOPE,,,0,Y,Good performance,276,282,10.6,4.7,1.515,16.383,21720,Pacific cod,Gadus macrocephalus,0,0,0.024820245,0,0,29-Sep-21
GOA,2009,-638,-5497,-133718,159,200901,169,57.49708,-151.4581,57.50044,-151.48309,130,Kodiak,101,200,Albatross Gullies,CENTRAL GOA,GULLY,,,0,Y,Good performance,147,153,8.2,5,1.571,15.974,21720,Pacific cod,Gadus macrocephalus,85.8,36,0.025095154,3418.986789,1434.539912,29-Sep-21
GOA,2011,-668,-7720,-206709,148,201101,158,55.66022,-155.89982,55.6511,-155.87995,121,Chirikof,101,200,Shelikof Edge,CENTRAL GOA,SHELF,,,0,Y,Good performance,155,162,9,5.4,1.615,15.689,21720,Pacific cod,Gadus macrocephalus,12.48,6,0.025337735,492.5459991,236.8009611,29-Sep-21
GOA,2011,-668,-8290,-228468,148,201101,178,57.37123,-151.59873,57.38233,-151.58768,31,Kodiak,1,100,Albatross Banks,CENTRAL GOA,SHELF,,,0,Y,Good performance,61,68,9.5,6.2,1.408,14.475,21720,Pacific cod,Gadus macrocephalus,37.44,14,0.0203808,1837.023081,686.9210237,29-Sep-21
GOA,2011,-668,-8296,-228574,148,201101,184,57.0671,-151.90427,57.0557,-151.92438,31,Kodiak,1,100,Albatross Banks,CENTRAL GOA,SHELF,,,0,Y,Good performance,75,82,9.7,6.5,1.763,15.055,21720,Pacific cod,Gadus macrocephalus,14.13,5,0.026541965,532.3645028,188.3809281,29-Sep-21
GOA,2011,-668,-8306,-228844,148,201101,194,56.74095,-153.19447,56.75023,-153.17707,130,Kodiak,101,200,Albatross Gullies,CENTRAL GOA,GULLY,,,0,Y,Good performance,145,151,10.7,4.3,1.494,16.178,21720,Pacific cod,Gadus macrocephalus,0.96,1,0.024169932,39.71877124,41.37372004,29-Sep-21
GOA,2013,-687,-10716,-290172,176,201301,238,59.14043,-147.75228,59.14632,-147.77464,230,Kodiak,201,300,Kenai Gullies,CENTRAL GOA,GULLY,,,0,Y,Good performance,201,205,13,4.9,1.802,18.312,21720,Pacific cod,Gadus macrocephalus,10.64,3,0.032998224,322.4415956,90.91398373,29-Sep-21
GOA,2013,-687,-10720,,176,201301,242,59.5932,-147.78827,59.58469,-147.76855,133,Kodiak,101,200,Kenai Flats,CENTRAL GOA,SHELF,,,0,Y,Good performance,110,114,15.7,5.6,1.466,16.627,21720,Pacific cod,Gadus macrocephalus,0,0,0.024375182,0,0,29-Sep-21
GOA,2013,-687,-10722,-290366,176,201301,244,59.25935,-146.90083,59.25714,-146.87487,241,Yakutat,201,300,Yakutat Slope,EASTERN GOA,SLOPE,,,0,Y,Good performance,198,202,15.5,5.4,1.512,15.247,21720,Pacific cod,Gadus macrocephalus,52.41,16,0.023053464,2273.411059,694.0388655,29-Sep-21
GOA,2013,-687,-10726,,176,201301,248,59.60877,-146.69541,59.6092,-146.72318,140,Yakutat,101,200,Middleton Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,103,107,13.3,5.7,1.576,17.302,21720,Pacific cod,Gadus macrocephalus,0,0,0.027267952,0,0,29-Sep-21
GOA,2013,-687,-10741,,176,201301,263,59.43919,-142.25486,59.42837,-142.24114,241,Yakutat,201,300,Yakutat Slope,EASTERN GOA,SLOPE,,,0,Y,Good performance,216,223,15.4,5.6,1.456,15.787,21720,Pacific cod,Gadus macrocephalus,0,0,0.022985872,0,0,29-Sep-21
GOA,2013,-687,-10750,,176,201301,272,59.177,-141.67405,59.18397,-141.68797,241,Yakutat,201,300,Yakutat Slope,EASTERN GOA,SLOPE,,,4.4,Y,Large fish catch affected net performance,222,228,15.4,4.8,1.115,15.742,21720,Pacific cod,Gadus macrocephalus,0,0,0.01755233,0,0,29-Sep-21
GOA,2009,-638,-5506,-133896,159,200901,178,58.14738,-151.64709,58.15429,-151.62469,30,Kodiak,1,100,Albatross Shallows,CENTRAL GOA,SHELF,,,0,Y,Good performance,93,100,7.8,6.4,1.57,14.474,21720,Pacific cod,Gadus macrocephalus,36.11,28,0.02272418,1589.056239,1232.167673,29-Sep-21
GOA,2009,-638,-5526,,159,200901,198,58.00347,-149.1264,58.0042,-149.10001,134,Kodiak,101,200,Kodiak Outer Shelf,CENTRAL GOA,SHELF,,,0,Y,Good performance,135,141,9.9,5.3,1.579,15.814,21720,Pacific cod,Gadus macrocephalus,0,0,0.024970306,0,0,29-Sep-21
GOA,2009,-638,-5532,-134472,159,200901,204,58.55195,-150.0855,58.55111,-150.0584,131,Kodiak,101,200,Portlock Flats,CENTRAL GOA,SHELF,,,0,Y,Good performance,120,126,9.5,4.9,1.594,15.807,21720,Pacific cod,Gadus macrocephalus,45.16,26,0.025196358,1792.322525,1031.895165,29-Sep-21
GOA,2011,-668,-8316,,148,201101,204,56.15668,-154.5478,56.16558,-154.52952,122,Chirikof,101,200,Chirikof Outer Shelf,CENTRAL GOA,SHELF,,,1.11,Y,Completed tow,88,94,9.3,5.4,1.529,15.413,21720,Pacific cod,Gadus macrocephalus,0,0,0.023566477,0,0,29-Sep-21
GOA,2011,-668,-8337,,148,201101,225,56.46907,-152.5257,56.48262,-152.52622,231,Kodiak,201,300,Kodiak Slope,CENTRAL GOA,SLOPE,,,0,Y,Good performance,283,288,10.5,4.7,1.515,16.63,21720,Pacific cod,Gadus macrocephalus,0,0,0.02519445,0,0,29-Sep-21
GOA,2011,-668,-8338,,148,201101,226,56.59218,-152.48473,56.593,-152.4599,134,Kodiak,101,200,Kodiak Outer Shelf,CENTRAL GOA,SHELF,,,0,Y,Good performance,138,145,10.8,5.5,1.54,14.994,21720,Pacific cod,Gadus macrocephalus,0,0,0.02309076,0,0,29-Sep-21
GOA,2011,-668,-8345,-229713,148,201101,233,57.03743,-151.5664,57.02507,-151.55798,134,Kodiak,101,200,Kodiak Outer Shelf,CENTRAL GOA,SHELF,,,0,Y,Good performance,119,126,9.9,5.5,1.477,17.084,21720,Pacific cod,Gadus macrocephalus,5.85,2,0.025233068,231.8386333,79.26107123,29-Sep-21
GOA,2011,-668,-8350,-229787,148,201101,238,57.57725,-151.24307,57.56687,-151.22367,31,Kodiak,1,100,Albatross Banks,CENTRAL GOA,SHELF,,,0,Y,Good performance,64,71,9.1,7.9,1.647,15.431,21720,Pacific cod,Gadus macrocephalus,25.36,19,0.025414857,997.8415381,747.5942123,29-Sep-21
GOA,2013,-687,-10769,,176,201301,292,56.52348,-135.26873,56.53107,-135.28284,50,Southeastern,1,100,Southeastern Shallows,EASTERN GOA,SHELF,,,1.12,Y,Hauled back early due to hang(s),92,99,10.8,6.8,1.216,15.528,21720,Pacific cod,Gadus macrocephalus,0,0,0.018882048,0,0,29-Sep-21
GOA,2013,-687,-10778,-291785,176,201301,301,54.71512,-133.68842,54.70115,-133.68795,251,Southeastern,201,300,Prince of Wales Slope/Gullies,EASTERN GOA,SLOPE,,,0,Y,Good performance,235,241,12.2,5.6,1.557,16.841,21720,Pacific cod,Gadus macrocephalus,2.46,1,0.026221437,93.81636865,38.13673522,29-Sep-21
GOA,2015,-699,-13980,-391004,143,201501,2,52.61101,-169.87345,52.59836,-169.87113,210,Shumagin,201,300,Shumagin Slope,WESTERN GOA,SLOPE,,,0,Y,Good performance,245,251,6.1,4.8,1.417,16.646,21720,Pacific cod,Gadus macrocephalus,12.38,9,0.023587382,524.8568917,381.5599374,29-Sep-21
GOA,2015,-699,-13994,,143,201501,16,53.79384,-165.30843,53.79842,-165.28727,111,Shumagin,101,200,Shumagin Outer Shelf,WESTERN GOA,SHELF,,,0,Y,Good performance,0,126,,,1.492,16.733,21720,Pacific cod,Gadus macrocephalus,0,0,0.024965636,0,0,29-Sep-21
GOA,2009,-638,-5549,,159,200901,222,59.15016,-147.8761,59.14164,-147.8566,230,Kodiak,201,300,Kenai Gullies,CENTRAL GOA,GULLY,,,0,Y,Good performance,196,202,11.1,5.3,1.487,16.21,21720,Pacific cod,Gadus macrocephalus,0,0,0.02410427,0,0,29-Sep-21
GOA,2009,-638,-5776,-153466,159,200901,234,59.8148,-144.9651,59.81084,-144.99001,140,Yakutat,101,200,Middleton Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,183,189,14.6,5.7,1.485,15.398,21720,Pacific cod,Gadus macrocephalus,12.51,4,0.02286603,547.0997808,174.9319843,29-Sep-21
GOA,2009,-638,-5787,-153718,159,200901,245,60.01973,-143.0717,60.02015,-143.04559,40,Yakutat,1,100,Yakutat Shallows,EASTERN GOA,SHELF,,,0,Y,Good performance,94,101,14,5.3,1.463,15.285,21720,Pacific cod,Gadus macrocephalus,2.63,1,0.022361955,117.6104683,44.71880925,29-Sep-21
GOA,2009,-638,-5790,,159,200901,248,59.55919,-142.1725,59.55001,-142.1528,141,Yakutat,101,200,Yakataga Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,179,185,13.3,5.8,1.535,15.788,21720,Pacific cod,Gadus macrocephalus,0,0,0.02423458,0,0,29-Sep-21
GOA,2009,-638,-5803,,159,200901,261,58.45386,-137.84821,58.45046,-137.8232,143,Yakutat,101,200,Fairweather Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,155,161,12.3,5.7,1.532,16.68,21720,Pacific cod,Gadus macrocephalus,0,0,0.02555376,0,0,29-Sep-21
GOA,2011,-668,-8369,-230178,148,201101,257,58.68323,-149.09037,58.68268,-149.11637,131,Kodiak,101,200,Portlock Flats,CENTRAL GOA,SHELF,,,0,Y,Good performance,127,134,12.1,5.4,1.518,14.385,21720,Pacific cod,Gadus macrocephalus,1.89,1,0.02183643,86.55260956,45.79503151,29-Sep-21
GOA,2011,-668,-8393,,148,201101,278,59.27122,-147.02402,59.2712,-147.04908,230,Kodiak,201,300,Kenai Gullies,CENTRAL GOA,GULLY,,,0,Y,Good performance,199,205,14.4,5.9,1.438,16.879,21720,Pacific cod,Gadus macrocephalus,0,0,0.024272002,0,0,29-Sep-21
GOA,2011,-668,-8398,,148,201101,283,59.38587,-146.84585,59.39975,-146.84712,140,Yakutat,101,200,Middleton Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,168,174,14.9,5.5,1.55,16.095,21720,Pacific cod,Gadus macrocephalus,0,0,0.02494725,0,0,29-Sep-21
GOA,2011,-668,-8403,-226888,148,201101,288,59.84572,-146.09532,59.83142,-146.09183,41,Yakutat,1,100,Middleton Shallows,EASTERN GOA,SHELF,,,0,Y,Good performance,87,93,13.3,5.3,1.614,15.647,21720,Pacific cod,Gadus macrocephalus,3.32,1,0.025254258,131.4629794,39.59728296,29-Sep-21
GOA,2011,-668,-8405,-226932,148,201101,290,59.81045,-144.38118,59.81345,-144.35288,40,Yakutat,1,100,Yakutat Shallows,EASTERN GOA,SHELF,,,0,Y,Good performance,60,67,14.3,6.1,1.629,15.211,21720,Pacific cod,Gadus macrocephalus,15.16,6,0.024778719,611.8153243,242.1432682,29-Sep-21
GOA,2011,-668,-8413,,148,201101,298,59.6339,-142.52023,59.62038,-142.52472,141,Yakutat,101,200,Yakataga Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,154,161,15.5,6,1.53,16.427,21720,Pacific cod,Gadus macrocephalus,0,0,0.02513331,0,0,29-Sep-21
GOA,2015,-699,-14371,-422368,143,201501,122,57.85715,-153.92182,57.86616,-153.90336,121,Chirikof,101,200,Shelikof Edge,CENTRAL GOA,SHELF,,,0,Y,Good performance,158,168,10.6,6.2,1.489,16.125,21720,Pacific cod,Gadus macrocephalus,9.54,9,0.024010125,397.3323754,374.8418636,29-Sep-21
GOA,2015,-699,-14372,-422392,143,201501,123,57.87824,-153.89683,57.86953,-153.91556,121,Chirikof,101,200,Shelikof Edge,CENTRAL GOA,SHELF,,,0,Y,Good performance,176,183,10.1,6,1.478,16.46,21720,Pacific cod,Gadus macrocephalus,136.38,102,0.02432788,5605.913873,4192.720451,29-Sep-21
GOA,2015,-699,-14373,-422430,143,201501,124,57.94284,-153.9354,57.94943,-153.9139,121,Chirikof,101,200,Shelikof Edge,CENTRAL GOA,SHELF,,,0,Y,Good performance,190,196,11.6,5.8,1.474,17.442,21720,Pacific cod,Gadus macrocephalus,2.34,2,0.025709508,91.01691094,77.79223157,29-Sep-21
GOA,2015,-699,-14387,-422789,143,201501,138,58.04677,-153.43075,58.05544,-153.44762,35,Kodiak,1,100,Northern Kodiak Shallows,CENTRAL GOA,SHELF,,,0,Y,Good performance,46,53,11.7,7,1.39,14.493,21720,Pacific cod,Gadus macrocephalus,20.23,19,0.02014527,1004.20595,943.1494341,29-Sep-21
GOA,2015,-699,-14389,-422859,143,201501,140,57.88526,-152.81193,57.87656,-152.82326,35,Kodiak,1,100,Northern Kodiak Shallows,CENTRAL GOA,SHELF,,,0,Y,Good performance,28,33,10.5,9.2,1.185,16.654,21720,Pacific cod,Gadus macrocephalus,18.246,39,0.01973499,924.5507598,1976.185445,29-Sep-21
GOA,2015,-699,-14808,-403506,143,201501,148,57.24143,-151.19817,57.22844,-151.19934,134,Kodiak,101,200,Kodiak Outer Shelf,CENTRAL GOA,SHELF,,,0,Y,Good performance,118,124,12.3,6.7,1.449,18.163,21720,Pacific cod,Gadus macrocephalus,14.52,6,0.026318187,551.7097359,227.9792297,29-Sep-21
GOA,2015,-699,-14810,-403541,143,201501,150,57.85052,-151.47592,57.83816,-151.4698,31,Kodiak,1,100,Albatross Banks,CENTRAL GOA,SHELF,,,0,Y,Good performance,52,58,11.1,7.8,1.423,18.108,21720,Pacific cod,Gadus macrocephalus,7.72,2,0.025767684,299.6000727,77.61659915,29-Sep-21
GOA,2015,-699,-14817,-403787,143,201501,157,58.17547,-151.16029,58.16398,-151.14708,130,Kodiak,101,200,Albatross Gullies,CENTRAL GOA,GULLY,,,0,Y,Good performance,141,146,11.8,6.6,1.499,17.685,21720,Pacific cod,Gadus macrocephalus,36.24,29,0.026509815,1367.040849,1093.934454,29-Sep-21
GOA,2015,-699,-14820,-403871,143,201501,160,58.05105,-152.10558,58.04925,-152.12996,130,Kodiak,101,200,Albatross Gullies,CENTRAL GOA,GULLY,,,0,Y,Good performance,148,153,10.3,6.7,1.459,15.938,21720,Pacific cod,Gadus macrocephalus,1.92,1,0.023253542,82.5680664,43.00420125,29-Sep-21
GOA,2015,-699,-14821,-403893,143,201501,161,58.1265,-152.00273,58.11343,-152.00377,30,Kodiak,1,100,Albatross Shallows,CENTRAL GOA,SHELF,,,0,Y,Good performance,0,54,,,1.456,17.634,21720,Pacific cod,Gadus macrocephalus,0.152,2,0.025675104,5.920131813,77.89647123,29-Sep-21
GOA,2009,-638,-5811,-154176,159,200901,269,57.31514,-136.0988,57.30354,-136.086,150,Southeastern,101,200,Baranof-Chichagof Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,136,142,11.6,5.7,1.541,16.372,21720,Pacific cod,Gadus macrocephalus,9.06,6,0.025229252,359.1069604,237.8191791,29-Sep-21
GOA,2009,-638,-5814,,159,200901,272,56.43588,-135.57001,56.42346,-135.5576,150,Southeastern,101,200,Baranof-Chichagof Shelf,EASTERN GOA,SHELF,,,2.5,Y,Bridle damaged,187,193,12.2,5.6,1.623,15.641,21720,Pacific cod,Gadus macrocephalus,0,0,0.025385343,0,0,29-Sep-21
GOA,2009,-638,-5825,-154485,159,200901,283,55.58204,-134.9184,55.58125,-134.89619,251,Southeastern,201,300,Prince of Wales Slope/Gullies,EASTERN GOA,SLOPE,,,0,Y,Good performance,231,238,13.2,5.4,1.417,16.951,21720,Pacific cod,Gadus macrocephalus,2.09,1,0.024019567,87.01239285,41.63272385,29-Sep-21
GOA,2009,-638,-5827,-156436,159,200901,285,55.36689,-134.68221,55.35822,-134.6633,251,Southeastern,201,300,Prince of Wales Slope/Gullies,EASTERN GOA,SLOPE,,,0,Y,Good performance,208,214,13.8,5.5,1.56,17.208,21720,Pacific cod,Gadus macrocephalus,8.69,6,0.02684448,323.7164587,223.5096377,29-Sep-21
GOA,2011,-667,-7424,-224959,143,201101,10,53.17895,-168.1741,53.16872,-168.18953,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,,,0,Y,Good performance,58,67,5,4.4,1.539,14.687,21720,Pacific cod,Gadus macrocephalus,21.05,11,0.022603293,931.2802343,486.6547542,29-Sep-21
GOA,2011,-667,-7427,-225013,143,201101,13,53.1163,-167.41303,53.1079,-167.43108,111,Shumagin,101,200,Shumagin Outer Shelf,WESTERN GOA,SHELF,,,0,Y,Good performance,100,108,5.3,4.2,1.541,14.757,21720,Pacific cod,Gadus macrocephalus,4.57,2,0.022740537,200.9627125,87.94867069,29-Sep-21
GOA,2011,-667,-7428,,143,201101,14,53.18555,-166.80585,53.17963,-166.82495,210,Shumagin,201,300,Shumagin Slope,WESTERN GOA,SLOPE,,,0,Y,Good performance,243,250,4.7,5.2,1.453,15.932,21720,Pacific cod,Gadus macrocephalus,0,0,0.023149196,0,0,29-Sep-21
GOA,2011,-667,-7429,-225048,143,201101,15,53.2804,-166.63525,53.27535,-166.65405,111,Shumagin,101,200,Shumagin Outer Shelf,WESTERN GOA,SHELF,,,0,Y,Good performance,183,190,4.9,5.3,1.497,15.993,21720,Pacific cod,Gadus macrocephalus,2.17,1,0.023941521,90.6375163,41.76844069,29-Sep-21
GOA,2011,-667,-7435,-225180,143,201101,21,53.94598,-165.6344,53.94512,-165.65732,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,,,0,Y,Good performance,87,95,5.3,4.2,1.513,14.24,21720,Pacific cod,Gadus macrocephalus,18.14,5,0.02154512,841.9540016,232.071114,29-Sep-21
GOA,2011,-668,-8415,-227177,148,201101,300,59.44245,-142.01635,59.45538,-142.02623,141,Yakutat,101,200,Yakataga Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,179,185,15.6,6,1.549,16.226,21720,Pacific cod,Gadus macrocephalus,1.17,1,0.025134074,46.55035232,39.78662592,29-Sep-21
GOA,2011,-668,-8416,,148,201101,301,59.44218,-141.85695,59.44433,-141.8308,141,Yakutat,101,200,Yakataga Shelf,EASTERN GOA,SHELF,,,0,Y,Good performance,177,183,15.8,5.9,1.512,15.765,21720,Pacific cod,Gadus macrocephalus,0,0,0.02383668,0,0,29-Sep-21
GOA,2011,-668,-8419,,148,201101,304,58.99957,-141.30415,59.00287,-141.33028,440,Yakutat,501,700,Yakutat Slope,EASTERN GOA,SLOPE,,,0,Y,Good performance,521,526,14.2,4.4,1.556,17.383,21720,Pacific cod,Gadus macrocephalus,0,0,0.027047948,0,0,29-Sep-21
GOA,2011,-668,-8420,,148,201101,305,59.1337,-141.4827,59.14715,-141.4771,340,Yakutat,301,500,Yakutat Gullies,EASTERN GOA,GULLY,,,0,Y,Good performance,347,353,14.2,4.6,1.531,17.274,21720,Pacific cod,Gadus macrocephalus,0,0,0.026446494,0,0,29-Sep-21
GOA,2011,-668,-8426,,148,201101,311,58.8556,-139.3442,58.86507,-139.32408,142,Yakutat,101,200,Yakutat Flats,EASTERN GOA,SHELF,,,0,Y,Good performance,124,130,14.3,6.1,1.575,16.002,21720,Pacific cod,Gadus macrocephalus,0,0,0.02520315,0,0,29-Sep-21
