"","Region.Label","Area","Sample.Label","Effort","object","distance","Study.Area"
"1","Montrave",0.332,"1",0.416,5,15,"Montrave 4"
"2","Montrave",0.332,"1",0.416,6,80,"Montrave 4"
"3","Montrave",0.332,"1",0.416,7,35,"Montrave 4"
"4","Montrave",0.332,"1",0.416,8,55,"Montrave 4"
"5","Montrave",0.332,"1",0.416,12,12,"Montrave 4"
"6","Montrave",0.332,"1",0.416,13,75,"Montrave 4"
"7","Montrave",0.332,"1",0.416,14,23,"Montrave 4"
"8","Montrave",0.332,"1",0.416,15,70,"Montrave 4"
"9","Montrave",0.332,"1",0.416,16,75,"Montrave 4"
"10","Montrave",0.332,"1",0.416,17,56,"Montrave 4"
"11","Montrave",0.332,"2",0.802,25,20,"Montrave 4"
"12","Montrave",0.332,"2",0.802,26,24,"Montrave 4"
"13","Montrave",0.332,"2",0.802,27,10,"Montrave 4"
"14","Montrave",0.332,"2",0.802,28,60,"Montrave 4"
"15","Montrave",0.332,"2",0.802,29,65,"Montrave 4"
"16","Montrave",0.332,"2",0.802,30,0,"Montrave 4"
"17","Montrave",0.332,"2",0.802,41,40,"Montrave 4"
"18","Montrave",0.332,"2",0.802,42,32,"Montrave 4"
"19","Montrave",0.332,"2",0.802,43,20,"Montrave 4"
"20","Montrave",0.332,"2",0.802,44,60,"Montrave 4"
"21","Montrave",0.332,"2",0.802,45,40,"Montrave 4"
"22","Montrave",0.332,"3",0.802,56,33,"Montrave 4"
"23","Montrave",0.332,"3",0.802,57,5,"Montrave 4"
"24","Montrave",0.332,"3",0.802,58,35,"Montrave 4"
"25","Montrave",0.332,"3",0.802,59,15,"Montrave 4"
"26","Montrave",0.332,"3",0.802,60,70,"Montrave 4"
"27","Montrave",0.332,"3",0.802,61,5,"Montrave 4"
"28","Montrave",0.332,"3",0.802,73,48,"Montrave 4"
"29","Montrave",0.332,"3",0.802,74,32,"Montrave 4"
"30","Montrave",0.332,"3",0.802,75,0,"Montrave 4"
"31","Montrave",0.332,"3",0.802,76,33,"Montrave 4"
"32","Montrave",0.332,"3",0.802,77,20,"Montrave 4"
"33","Montrave",0.332,"3",0.802,78,35,"Montrave 4"
"34","Montrave",0.332,"4",0.598,87,5,"Montrave 4"
