year,catch,effort
1945,809,232
1946,854,253
1947,919,289
1948,1360,382
1949,1872,1046
1950,2672,614
1951,2834,1216
1952,3324,1293
1953,4160,1444
1954,5541,1439
1955,5909,1420
1956,6547,1509
1957,5049,1365
1958,4447,1876
1959,4018,1633
1960,3762,1826
1961,4042,1829
1962,4583,2093
1963,4554,1866
1964,4597,2148
1965,4984,2286
1966,5295,2486
1967,4782,2571
1968,4975,3252
1969,4786,3626
1970,4699,3241
1971,4478,3199
1972,3495,3206
1973,3784,3076
1974,3643,3253
1975,2987,3247
1976,3311,3246
1977,3237,3237
1978,3418,3255
1979,4050,3716
1980,4190,4068
1981,4058,4018
1982,4331,4419
1983,4385,4983
1984,4911,5778
1985,4856,5781
1986,4657,5749
1987,4500,5357
1988,3128,4600
1989,3318,5352
1990,2770,5130
