Lake	Date	Rep	Effort	Species	TL	TLe	Wt	Wte
ANN	1/4/02	1	20	LMB	90	3.543307087	6.069182231	0.013380241
ANN	1/4/02	1	20	LMB	109	4.291338583	13.05713173	0.028786014
ANN	1/4/02	1	20	LMB	114	4.488188976	21.66711832	0.047767762
ANN	1/4/02	1	20	LMB	142	5.590551181	35.64873924	0.078591923
ANN	1/4/02	1	20	LMB	143	5.62992126	43.14928315	0.095127773
ANN	1/4/02	1	20	LMB	147	5.787401575	32.30407417	0.071218208
ANN	1/4/02	1	20	LMB	150	5.905511811	48.93653565	0.107886465
ANN	1/4/02	1	20	LMB	150	5.905511811	38.7272927	0.085378964
ANN	1/4/02	1	20	LMB	154	6.062992126	69.13655977	0.152419842
ANN	1/4/02	1	20	LMB	160	6.299212598	49.00095241	0.10802848
ANN	1/4/02	1	20	LMB	163	6.417322835	59.78261312	0.131797945
ANN	1/4/02	1	20	LMB	163	6.417322835	48.40093474	0.106705669
ANN	1/4/02	1	20	LMB	166	6.535433071	54.75048838	0.120704022
ANN	1/4/02	1	20	LMB	186	7.322834646	101.4403743	0.223637478
ANN	1/4/02	1	20	LMB	213	8.385826772	151.9663445	0.335028042
ANN	1/4/02	1	20	LMB	219	8.622047244	95.90860781	0.211442035
ANN	1/4/02	1	20	LMB	220	8.661417323	170.3383696	0.375531376
ANN	1/4/02	1	20	LMB	222	8.74015748	174.2565251	0.38416942
ANN	1/4/02	1	20	LMB	240	9.448818898	239.4583533	0.527914675
ANN	1/4/02	1	20	LMB	240	9.448818898	208.8350319	0.460401888
ANN	1/4/02	1	20	LMB	242	9.527559055	232.1624335	0.511829944
ANN	1/4/02	1	20	LMB	245	9.645669291	184.8551608	0.407535385
ANN	1/4/02	1	20	LMB	247	9.724409449	207.0661614	0.456502201
ANN	1/4/02	1	20	LMB	275	10.82677165	343.8302995	0.758015155
ANN	1/4/02	1	20	LMB	282	11.1023622	354.9981832	0.782636095
ANN	1/4/02	1	20	LMB	282	11.1023622	451.8647377	0.996190038
ANN	1/4/02	1	20	LMB	282	11.1023622	315.3824041	0.695298356
ANN	1/4/02	1	20	LMB	287	11.2992126	272.0750662	0.599822133
ANN	1/4/02	1	20	LMB	294	11.57480315	334.4034564	0.737232548
ANN	1/4/02	1	20	LMB	296	11.65354331	407.148606	0.89760796
ANN	1/4/02	1	20	LMB	307	12.08661417	536.4484677	1.182665021
ANN	1/4/02	1	20	LMB	312	12.28346457	410.7799156	0.905613618
ANN	1/4/02	1	20	LMB	320	12.5984252	724.7693999	1.597841114
ANN	1/4/02	1	20	LMB	330	12.99212598	434.39431	0.957674384
