bay tl sex annuli age yearsold
CharlotteHarbor 387 F 1  1 1.652
CharlotteHarbor 355 F 1  1 1.652
CharlotteHarbor 355 F 1  1 1.652
CharlotteHarbor 320 F 1  1 1.652
CharlotteHarbor 335 F 1  1 1.652
CharlotteHarbor 410 F 1  1 1.652
CharlotteHarbor 360 F 1  1 1.652
CharlotteHarbor 385 F 1  1 1.652
CharlotteHarbor 520 F 4  3 3.652
CharlotteHarbor 405 F 2  2 2.652
CharlotteHarbor 375 F 1  1 1.652
CharlotteHarbor 375 F 2  2 2.652
CharlotteHarbor 420 F 1  1 1.652
CharlotteHarbor 360 F 2  1 1.652
CharlotteHarbor 392 F 2  2 2.652
CharlotteHarbor 445 F 2  2 2.652
CharlotteHarbor 430 F 3  2 2.652
CharlotteHarbor 422 F 2  2 2.652
CharlotteHarbor 412 F 1  1 1.652
CharlotteHarbor 433 F 1  1 1.652
CharlotteHarbor 403 F 2  2 2.652
CharlotteHarbor 295 F 0  0 0.660
CharlotteHarbor 570 F 3  3 3.660
CharlotteHarbor 485 F 3  3 3.660
CharlotteHarbor 620 F 3  3 3.660
CharlotteHarbor 555 F 3  3 3.660
CharlotteHarbor 502 F 2  2 2.660
CharlotteHarbor 525 F 2  2 2.660
CharlotteHarbor 485 F 3  3 3.660
CharlotteHarbor 525 F 3  3 3.660
CharlotteHarbor 502 F 2  2 2.660
CharlotteHarbor 530 F 2  2 2.660
CharlotteHarbor 484 F 2  2 2.660
CharlotteHarbor 462 F 2  2 2.660
CharlotteHarbor 603 F 3  3 3.660
IndianRiver     380 F 2  1 1.682
IndianRiver     362 F 1  1 1.682
IndianRiver     368 F 1  1 1.682
IndianRiver     338 F 1  1 1.682
IndianRiver     342 F 1  1 1.682
IndianRiver     338 F 2  1 1.682
IndianRiver     535 F 2  2 2.682
IndianRiver     550 F 2  2 2.682
IndianRiver     502 F 1  1 1.682
IndianRiver     498 F 2  2 2.682
IndianRiver     505 F 1  1 1.682
IndianRiver     483 F 1  1 1.682
IndianRiver     470 F 1  1 1.682
IndianRiver     470 F 1  1 1.682
IndianRiver     505 F 1  1 1.682
IndianRiver     468 F 4  4 4.682
IndianRiver     470 F 1  1 1.682
IndianRiver     388 F 2  1 1.682
IndianRiver     563 F 3  2 2.682
IndianRiver     499 F 1  1 1.684
IndianRiver     442 F 1  1 1.684
IndianRiver     735 F 4  4 4.684
IndianRiver     710 F 4  4 4.684
IndianRiver     470 F 2  2 2.684
IndianRiver     495 F 1  1 1.684
IndianRiver     500 F 2  2 2.684
IndianRiver     504 F 2  2 2.684
IndianRiver     440 F 1  1 1.684
IndianRiver     520 F 3  2 2.684
IndianRiver     545 F 2  2 2.684
IndianRiver     372 F 1  1 1.684
IndianRiver     434 F 2  1 1.684
IndianRiver     434 F 1  1 1.684
IndianRiver     385 F 2  1 1.684
IndianRiver     422 F 1  1 1.684
IndianRiver     382 F 2  1 1.684
IndianRiver     415 F 1  1 1.684
IndianRiver     410 F 1  1 1.684
IndianRiver     405 F 1  1 1.684
CharlotteHarbor 414 F 1  1 1.747
CharlotteHarbor 425 F 1  1 1.747
CharlotteHarbor 360 F 1  1 1.747
CharlotteHarbor 412 F 1  1 1.747
CharlotteHarbor 450 F 2  2 2.747
CharlotteHarbor 400 F 1  1 1.747
CharlotteHarbor 424 F 1  1 1.747
CharlotteHarbor 322 F 1  1 1.747
CharlotteHarbor 325 F 1  1 1.747
CharlotteHarbor 375 F 1  1 1.747
CharlotteHarbor 443 F 2  1 1.747
CharlotteHarbor 425 F 1  1 1.747
CharlotteHarbor 405 F 1  1 1.747
CharlotteHarbor 625 F 4  4 4.747
CharlotteHarbor 542 F 4  3 3.747
CharlotteHarbor 362 F 1  1 1.747
CharlotteHarbor 409 F 1  1 1.747
CharlotteHarbor 495 F 3  3 3.747
CharlotteHarbor 382 F 1  1 1.747
CharlotteHarbor 380 F 1  1 1.747
CharlotteHarbor 328 F 0  0 0.747
CharlotteHarbor 370 F 1  1 1.747
IndianRiver     411 F 1  1 1.761
IndianRiver     429 F 1  1 1.761
IndianRiver     509 F 2  2 2.761
IndianRiver     462 F 4  3 3.761
IndianRiver     693 F 3  2 2.761
IndianRiver     442 F 2  1 1.761
IndianRiver     396 F 1  1 1.761
IndianRiver     466 F 1  1 1.761
IndianRiver     418 F 1  1 1.761
IndianRiver     457 F 1  1 1.761
IndianRiver     436 F 1  1 1.761
IndianRiver     445 F 2  1 1.761
IndianRiver     411 F 1  1 1.761
IndianRiver     432 F 2  1 1.761
IndianRiver     411 F 2  1 1.761
IndianRiver     392 F 1  1 1.761
IndianRiver     343 F 2  1 1.761
IndianRiver     743 F 3  2 2.761
IndianRiver     621 F 3  2 2.761
IndianRiver     479 F 1  1 1.764
IndianRiver     468 F 1  1 1.764
IndianRiver     491 F 2  1 1.764
IndianRiver     539 F 2  2 2.764
IndianRiver     738 F 5  4 4.764
IndianRiver     643 F 4  4 4.764
IndianRiver     478 F 1  1 1.764
IndianRiver     636 F 3  2 2.764
IndianRiver     579 F 3  2 2.764
IndianRiver     614 F 3  3 3.764
IndianRiver     466 F 2  1 1.764
CharlotteHarbor 555 F 5  4 4.767
CharlotteHarbor 300 F 0  0 0.767
CharlotteHarbor 592 F 3  3 3.767
CharlotteHarbor 645 F 3  3 3.767
CharlotteHarbor 297 F 0  0 0.767
CharlotteHarbor 512 F 2  2 2.767
CharlotteHarbor 520 F 3  3 3.767
CharlotteHarbor 600 F 3  3 3.767
CharlotteHarbor 293 F 0  0 0.767
CharlotteHarbor 456 F 1  1 1.767
CharlotteHarbor 460 F 3  2 2.767
CharlotteHarbor 468 F 3  2 2.767
CharlotteHarbor 482 F 2  2 2.767
CharlotteHarbor 519 F 3  3 3.767
CharlotteHarbor 539 F 3  2 2.767
CharlotteHarbor 564 F 3  3 3.767
CharlotteHarbor 382 F 3  2 2.802
CharlotteHarbor 623 F 4  3 3.802
CharlotteHarbor 529 F 5  4 4.802
CharlotteHarbor 572 F 4  3 3.802
CharlotteHarbor 570 F 3  3 3.802
CharlotteHarbor 577 F 3  3 3.802
CharlotteHarbor 515 F 3  2 2.802
CharlotteHarbor 580 F 3  3 3.802
CharlotteHarbor 596 F 5  4 4.802
CharlotteHarbor 523 F 3  3 3.802
CharlotteHarbor 313 F 0  0 0.802
CharlotteHarbor 439 F 3  2 2.802
CharlotteHarbor 467 F 2  1 1.802
CharlotteHarbor 461 F 3  2 2.802
CharlotteHarbor 446 F 3  2 2.802
CharlotteHarbor 325 F 1  0 0.802
CharlotteHarbor 402 F 1  0 0.802
CharlotteHarbor 442 F 2  1 1.802
CharlotteHarbor 397 F 1  1 1.802
CharlotteHarbor 458 F 3  2 2.802
CharlotteHarbor 323 F 1  0 0.802
CharlotteHarbor 403 F 1  1 1.802
CharlotteHarbor 391 F 1  1 1.802
CharlotteHarbor 380 F 1  1 1.802
CharlotteHarbor 539 F 4  3 3.802
CharlotteHarbor 523 F 4  4 4.802
CharlotteHarbor 500 F 3  3 3.802
CharlotteHarbor 411 F 3  2 2.802
CharlotteHarbor 440 F 3  3 3.802
CharlotteHarbor 426 F 3  2 2.802
CharlotteHarbor 406 F 1  1 1.802
CharlotteHarbor 392 F 2  2 2.802
CharlotteHarbor 333 F 1  1 1.802
CharlotteHarbor 370 F 1  1 1.802
CharlotteHarbor 389 F 1  1 1.802
CharlotteHarbor 329 F 1  1 1.802
CharlotteHarbor 321 F 2  1 1.802
CharlotteHarbor 369 F 1  1 1.802
IndianRiver     378 F 2  1 1.819
IndianRiver     487 F 2  1 1.819
IndianRiver     385 F 1  1 1.819
IndianRiver     342 F 2  1 1.819
IndianRiver     409 F 1  1 1.819
IndianRiver     394 F 1  1 1.819
IndianRiver     450 F 1  1 1.819
IndianRiver     468 F 1  1 1.819
IndianRiver     335 F 0  0 0.819
IndianRiver     359 F 2  1 1.819
IndianRiver     370 F 1  1 1.819
IndianRiver     429 F 2  1 1.819
IndianRiver     421 F 1  1 1.819
IndianRiver     435 F 2  1 1.819
IndianRiver     440 F 2  1 1.819
IndianRiver     489 F 2  1 1.819
IndianRiver     357 F 1  1 1.819
IndianRiver     390 F 2  1 1.819
IndianRiver     376 F 2  1 1.819
IndianRiver     385 F 2  1 1.819
IndianRiver     425 F 1  1 1.819
IndianRiver     315 F 0  0 0.819
IndianRiver     440 F 1  1 1.819
IndianRiver     295 F 1  0 0.819
IndianRiver     440 F 2  1 1.819
IndianRiver     445 F 2  1 1.819
IndianRiver     414 F 2  1 1.819
IndianRiver     749 F 5  4 4.819
IndianRiver     535 F 2  1 1.819
IndianRiver     480 F 2  1 1.819
IndianRiver     470 F 2  1 1.819
IndianRiver     550 F 3  2 2.819
IndianRiver     670 F 5  4 4.819
IndianRiver     337 F 2  1 1.819
IndianRiver     345 F 2  1 1.819
IndianRiver     335 F 2  1 1.819
IndianRiver     347 F 1  1 1.819
IndianRiver     460 F 2  1 1.819
IndianRiver     342 F 2  1 1.819
IndianRiver     324 F 1  0 0.819
IndianRiver     345 F 1  0 0.819
IndianRiver     633 F 4  3 3.819
IndianRiver     618 F 4  3 3.819
IndianRiver     590 F 3  2 2.819
IndianRiver     620 F 3  2 2.819
IndianRiver     454 F 2  1 1.819
IndianRiver     505 F 2  1 1.819
IndianRiver     592 F 4  3 3.819
IndianRiver     522 F 3  2 2.819
IndianRiver     554 F 3  2 2.819
IndianRiver     530 F 3  2 2.819
IndianRiver     572 F 3  2 2.819
IndianRiver     622 F 4  3 3.819
IndianRiver     560 F 3  2 2.819
IndianRiver     570 F 3  2 2.819
IndianRiver     558 F 3  2 2.819
IndianRiver     580 F 3  2 2.819
IndianRiver     540 F 2  1 1.819
IndianRiver     488 F 3  2 2.819
IndianRiver     540 F 3  2 2.819
IndianRiver     540 F 1  1 1.819
IndianRiver     585 F 3  2 2.819
IndianRiver     488 F 3  2 2.819
IndianRiver     510 F 3  2 2.819
IndianRiver     478 F 2  1 1.819
IndianRiver     515 F 2  1 1.819
IndianRiver     572 F 4  3 3.819
IndianRiver     640 F 4  3 3.819
IndianRiver     627 F 2  2 2.819
IndianRiver     688 F 3  2 2.819
IndianRiver     750 F 8  7 7.821
CharlotteHarbor 465 F 2  1 1.879
CharlotteHarbor 405 F 2  1 1.879
CharlotteHarbor 400 F 2  1 1.879
CharlotteHarbor 505 F 3  2 2.879
CharlotteHarbor 488 F 3  2 2.879
CharlotteHarbor 530 F 4  3 3.879
CharlotteHarbor 385 F 2  1 1.879
CharlotteHarbor 410 F 2  1 1.879
CharlotteHarbor 360 F 2  1 1.879
CharlotteHarbor 455 F 3  2 2.879
CharlotteHarbor 435 F 3  2 2.879
CharlotteHarbor 545 F 4  3 3.879
CharlotteHarbor 380 F 2  1 1.879
CharlotteHarbor 335 F 2  1 1.879
CharlotteHarbor 444 F 2  1 1.879
CharlotteHarbor 358 F 1  0 0.879
CharlotteHarbor 380 F 2  1 1.879
CharlotteHarbor 318 F 1  0 0.879
CharlotteHarbor 417 F 2  1 1.879
CharlotteHarbor 355 F 2  1 1.879
CharlotteHarbor 390 F 2  1 1.879
CharlotteHarbor 385 F 2  1 1.879
CharlotteHarbor 392 F 2  1 1.879
CharlotteHarbor 382 F 2  1 1.879
CharlotteHarbor 339 F 2  1 1.879
CharlotteHarbor 415 F 2  1 1.879
CharlotteHarbor 408 F 2  1 1.879
CharlotteHarbor 409 F 2  1 1.879
CharlotteHarbor 435 F 2  1 1.879
CharlotteHarbor 337 F 2  1 1.879
CharlotteHarbor 460 F 3  2 2.879
CharlotteHarbor 344 F 2  1 1.879
CharlotteHarbor 329 F 2  1 1.879
CharlotteHarbor 455 F 4  3 3.879
CharlotteHarbor 347 F 2  1 1.879
CharlotteHarbor 297 F 2  1 1.879
CharlotteHarbor 339 F 1  0 0.879
CharlotteHarbor 522 F 4  3 3.879
CharlotteHarbor 466 F 3  2 2.879
CharlotteHarbor 530 F 3  2 2.879
CharlotteHarbor 290 F 1  0 0.879
CharlotteHarbor 604 F 5  4 4.879
CharlotteHarbor 612 F 5  4 4.879
CharlotteHarbor 485 F 3  2 2.879
CharlotteHarbor 655 F 6  5 5.879
CharlotteHarbor 633 F 5  4 4.879
CharlotteHarbor 508 F 4  3 3.879
CharlotteHarbor 483 F 4  3 3.879
CharlotteHarbor 605 F 7  6 6.879
CharlotteHarbor 344 F 2  1 1.879
CharlotteHarbor 330 F 2  1 1.879
CharlotteHarbor 451 F 3  2 2.879
CharlotteHarbor 538 F 4  3 3.879
IndianRiver     460 F 2  1 1.917
IndianRiver     374 F 2  1 1.917
IndianRiver     488 F 2  1 1.917
IndianRiver     752 F 5  4 4.917
IndianRiver     525 F 2  1 1.917
IndianRiver     712 F 4  3 3.917
IndianRiver     703 F 3  2 2.917
IndianRiver     771 F 7  6 6.917
IndianRiver     613 F 3  2 2.917
IndianRiver     481 F 2  1 1.917
IndianRiver     351 F 2  1 1.917
IndianRiver     511 F 2  1 1.917
IndianRiver     345 F 2  1 1.917
IndianRiver     370 F 1  0 0.917
IndianRiver     373 F 2  1 1.917
IndianRiver     366 F 2  1 1.917
IndianRiver     379 F 2  1 1.917
IndianRiver     467 F 2  1 1.917
IndianRiver     362 F 2  1 1.917
IndianRiver     388 F 2  1 1.917
IndianRiver     462 F 2  1 1.917
IndianRiver     489 F 2  1 1.917
IndianRiver     391 F 2  1 1.917
IndianRiver     656 F 3  2 2.917
IndianRiver     365 F 2  1 1.917
IndianRiver     326 F 2  1 1.917
IndianRiver     345 F 2  1 1.917
IndianRiver     352 F 1  0 0.917
IndianRiver     353 F 2  1 1.917
IndianRiver     328 F 1  0 0.917
IndianRiver     359 F 2  1 1.917
IndianRiver     385 F 1  0 0.917
IndianRiver     477 F 2  1 1.917
IndianRiver     540 F 2  1 1.917
IndianRiver     315 F 1  0 0.917
IndianRiver     715 F 5  4 4.917
IndianRiver     342 F 1  0 0.917
IndianRiver     435 F 2  1 1.917
IndianRiver     444 F 2  1 1.917
IndianRiver     446 F 2  1 1.917
IndianRiver     469 F 2  1 1.917
