   TL   Gear Rings
  197  trawl     2
  166  trawl     2
  141  trawl     1
  172  trawl     1
  103  trawl     0
  112  trawl     0
  98   trawl     0
  90   trawl     0
  99   trawl     0
   109  trawl     0
   82   trawl     0
   80   trawl     0
   79   trawl     0
   74   trawl     0
   78   trawl     0
   76   trawl     0
   76   trawl     0
   230  trawl     2
   205  trawl     2
   213  trawl     2
   161  trawl     2
   106  trawl     0
   106  trawl     0
   82   trawl     0
   231  trawl     2
   277  trawl     7
   95   trawl     0
   242  trawl     3
   235  trawl     2
   223  trawl     2
   232  trawl     2
   169  trawl     2
   137  trawl     1
   109  trawl     0
   98   trawl     0
   176  trawl     2
   .    trawl     .
   261  trawl     4
   221  trawl     3
   183  trawl     1
   196  trawl     1
   165  trawl     1
   186  trawl     2
   184  trawl     1
   145  trawl     1
   151  trawl     1
   95   trawl     0
   250  trawl     2
   242  trawl     3
   148  trawl     1
   106  trawl     0
   88   trawl     0
   84   trawl     0
   156  trawl     2
   193  trawl     1
   192  trawl     2
   275  trawl     6
   221  trawl     3
   229  trawl     3
   205  trawl     1
   216  trawl     2
   177  trawl     2
   185  trawl     1
   155  trawl     1
   172  trawl     2
   152  trawl     2
   111  trawl     0
   148  trawl     1
   111  trawl     0
   131  trawl     1
   217  trawl     2
   112  trawl     0
   243  trawl     3
   181  trawl     2
   136  trawl     1
   242  trawl     3
   254  trawl     7
   210  trawl     3
   192  trawl     2
   111  trawl     0
   313  trawl     5
   200  trawl     2
   174  trawl     2
   200  trawl     2
   206  trawl     2
   208  trawl     2
   217  trawl     3
   277  trawl     3
   278  trawl     2
   299  trawl     4
   132  trawl     0
   264  trawl     2
   129  trawl     0
   120  trawl     0
   141  trawl     1
   137  trawl     1
   260  trawl     3
   258  trawl     5
   253  trawl     5
  257  trawl     3
  120  trawl     0
  132  trawl     1
  262  trawl     4
  263  trawl     3
  125  trawl     1
  122  trawl     0
  305  trawl     5
  293  trawl     4
  292  trawl     3
  292  trawl     2
  347  trawl     6
  342  trawl     6
  165  trawl     1
  223  trawl     2
  239  trawl     2
  275  trawl     6
  306  trawl     3
  104  trapnet   0
  101  trapnet   0
  102  trapnet   0
  117  trapnet   0
  111  trapnet   0
  105  trapnet   0
  119  trapnet   0
  112  trapnet   0
  117  trapnet   0
   124  trapnet   0
   102  trapnet   0
   124  trapnet   0
   149  trapnet   1
   136  trapnet   1
   183  trapnet   2
   145  trapnet   0
   130  trapnet   0
   140  trapnet   1
   140  trapnet   1
   165  trapnet   2
   157  trapnet   2
   147  trapnet   1
   165  trapnet   2
   162  trapnet   2
   180  trapnet   2
   212  trapnet   2
   218  trapnet   2
   267  trapnet   2
   157  trapnet   1
   135  trapnet   0
   166  trapnet   1
   169  trapnet   1
   155  trapnet   0
   204  trapnet   2
   204  trapnet   2
   231  trapnet   2
   193  trapnet   1
   126  trapnet   0
   134  trapnet   0
   230  trapnet   2
   251  trapnet   3
   231  trapnet   2
   212  trapnet   2
   224  trapnet   2
   202  trapnet   2
   213  trapnet   1
   172  trapnet   1
   192  trapnet   1
   214  trapnet   2
   224  trapnet   1
   231  trapnet   2
   231  trapnet   2
   280  trapnet   2
   170  trapnet   1
   124  trapnet   0
   121  trapnet   0
   138  trapnet   1
   157  trapnet   2
   194  trapnet   1
   227  trapnet   2
   270  trapnet   2
   256  trapnet   2
   253  trapnet   2
   222  trapnet   2
   209  trapnet   1
   204  trapnet   1
   196  trapnet   1
   171  trapnet   1
   191  trapnet   2
   182  trapnet   1
