GRIFFIN   GEAR SAMPLE    TL
GRIFFIN   TRAWL     1.1  93
GRIFFIN   TRAWL     1.1  76
GRIFFIN   TRAWL     1.1  107
GRIFFIN   TRAWL     1.1  74
GRIFFIN   TRAWL     1.1  84
GRIFFIN   TRAWL     1.1  78
GRIFFIN   TRAWL     1.1  139
GRIFFIN   TRAWL     1.1  160
GRIFFIN   TRAWL     1.1  161
GRIFFIN   TRAWL     1.1  152
GRIFFIN   TRAWL     1.1  86
GRIFFIN   TRAWL     1.1  78
GRIFFIN   TRAWL     1.1  113
GRIFFIN   TRAWL     1.1  91
GRIFFIN   TRAWL     1.1  98
GRIFFIN   TRAWL     1.1  87
GRIFFIN   TRAWL     1.1  88
GRIFFIN   TRAWL     1.1  84
GRIFFIN   TRAWL     1.2  221
GRIFFIN   TRAWL     1.2  149
GRIFFIN   TRAWL     1.2  158
GRIFFIN   TRAWL     1.2  143
GRIFFIN   TRAWL     1.2  183
GRIFFIN   TRAWL     1.2  110
GRIFFIN   TRAWL     1.2  95
GRIFFIN   TRAWL     1.2  104
GRIFFIN   TRAWL     1.2  100
GRIFFIN   TRAWL     1.2  78
GRIFFIN   TRAWL     1.2  99
GRIFFIN   TRAWL     1.3  225
GRIFFIN   TRAWL     1.3  219
GRIFFIN   TRAWL     1.3  223
GRIFFIN   TRAWL     1.3  151
GRIFFIN   TRAWL     1.3  166
GRIFFIN   TRAWL     1.3  270
GRIFFIN   TRAWL     1.3  143
GRIFFIN   TRAWL     1.3  152
GRIFFIN   TRAWL     1.3  156
GRIFFIN   TRAWL     1.3  214
GRIFFIN   TRAWL     1.3  168
GRIFFIN   TRAWL     1.3  110
GRIFFIN   TRAWL     1.3  93
GRIFFIN   TRAWL     1.3  202
GRIFFIN   TRAWL     1.3  98
GRIFFIN   TRAWL     1.3  81
GRIFFIN   TRAWL     1.3  86
GRIFFIN   TRAWL     1.3  75
GRIFFIN   TRAWL     1.3  176
GRIFFIN   TRAWL     1.3  342
GRIFFIN   TRAWL     1.3  87
GRIFFIN   TRAWL     1.3  81
GRIFFIN   TRAWL     1.3  87
GRIFFIN   TRAWL     1.3  86
GRIFFIN   TRAWL     1.4  347
GRIFFIN   TRAWL     1.4  210
GRIFFIN   TRAWL     1.4  185
GRIFFIN   TRAWL     1.4  203
GRIFFIN   TRAWL     1.4  181
GRIFFIN   TRAWL     1.4  131
GRIFFIN   TRAWL     1.4  166
GRIFFIN   TRAWL     1.4  105
GRIFFIN   TRAWL     1.4  146
GRIFFIN   TRAWL     1.5  232
GRIFFIN   TRAWL     1.5  232
GRIFFIN   TRAWL     1.5  136
GRIFFIN   TRAWL     1.5  147
GRIFFIN   TRAWL     1.5  188
GRIFFIN   TRAWL     1.5  145
GRIFFIN   TRAWL     1.5  156
GRIFFIN   TRAWL     1.5  166
GRIFFIN   TRAWL     1.5  141
GRIFFIN   TRAWL     1.5  103
GRIFFIN   TRAWL     1.5  149
GRIFFIN   TRAWL     1.5  102
GRIFFIN   TRAWL     1.5  197
GRIFFIN   TRAWL     1.5  144
GRIFFIN   TRAWL     1.5  115
GRIFFIN   TRAWL     1.5  158
GRIFFIN   TRAWL     1.5  84
GRIFFIN   TRAWL     1.5  105
GRIFFIN   TRAWL     1.5  113
GRIFFIN   TRAWL     1.5  111
GRIFFIN   TRAWL     1.5  152
GRIFFIN   TRAWL     1.5  91
GRIFFIN   TRAWL     1.5  84
GRIFFIN   TRAWL     1.6  170
GRIFFIN   TRAWL     1.6  227
GRIFFIN   TRAWL     1.6  161
GRIFFIN   TRAWL     1.6  169
GRIFFIN   TRAWL     1.6  76
GRIFFIN   TRAWL     1.6  72
GRIFFIN   TRAWL     1.6  173
GRIFFIN   TRAWL     2.1  235
GRIFFIN   TRAWL     2.1  207
GRIFFIN   TRAWL     2.1  164
GRIFFIN   TRAWL     2.1  152
GRIFFIN   TRAWL     2.1  171
GRIFFIN   TRAWL     2.1  115
GRIFFIN   TRAWL     2.1  66
GRIFFIN   TRAWL     2.2  264
GRIFFIN   TRAWL     2.2  212
GRIFFIN   TRAWL     2.2  193
GRIFFIN   TRAWL     2.2  176
GRIFFIN   TRAWL     2.2  174
GRIFFIN   TRAWL     2.2  154
GRIFFIN   TRAWL     2.2  168
