Lake Rep  Gear Species   TL  Hours
   Griffin   8    trapnet   blcr    198  72
   Griffin   8    trapnet   blcr    108   72
   Griffin   8    trapnet   blcr    86     72
   Griffin   8    trapnet   blcr    81     72
   Griffin   8    trapnet   blcr    78     72
   Griffin   8    trapnet   blcr    73     72
   Griffin   8    trapnet   blcr    80     72
   Griffin   8    trapnet   blcr    67     72
   Griffin   7    trapnet   blcr    255    72
   Griffin   7    trapnet   blcr    198     72
   Griffin   7    trapnet   blcr    197     72
   Griffin   7    trapnet   blcr    180     72
   Griffin   7    trapnet   blcr    181     72
   Griffin   7    trapnet   blcr    155     72
   Griffin   7    trapnet   blcr    160     72
   Griffin   7    trapnet   blcr    150     72
   Griffin   7    trapnet   blcr    142     72
   Griffin   7    trapnet   blcr    123     72
   Griffin   7    trapnet   blcr    123     72
   Griffin   7    trapnet   blcr    115     72
   Griffin   7    trapnet   blcr    91   72
   Griffin   7    trapnet   blcr    103 72
   Griffin   7    trapnet   blcr    107 72
   Griffin   7    trapnet   blcr    101 72
   Griffin   7    trapnet   blcr    100 72
   Griffin   7    trapnet   blcr    91   72
   Griffin   7    trapnet   blcr    85   72
   Griffin   7    trapnet   blcr    93   72
   Griffin   7    trapnet   blcr    97   72
   Griffin   7    trapnet   blcr    94   72
   Griffin   7    trapnet   blcr    87   72
   Griffin   7    trapnet   blcr    76   72
   Griffin   7    trapnet   blcr    76   72
   Griffin   3    trapnet   blcr    129   72
   Griffin   3    trapnet   blcr    116   72
   Griffin   3    trapnet   blcr    107   72
   Griffin   3    trapnet   blcr    83   72
   Griffin   3    trapnet   blcr    77   72
   Griffin   3    trapnet   blcr    105   72
   Griffin   3    trapnet   blcr    84   72
   Griffin   3    trapnet   blcr    106     72
   Griffin   3    trapnet   blcr    103     72
   Griffin   3    trapnet   blcr    103    72
   Griffin   3    trapnet   blcr    100    72
   Griffin   3    trapnet   blcr    82   72
   Griffin   3    trapnet   blcr    71   72
   Griffin   3    trapnet   blcr    77   72
   Griffin   3    trapnet   blcr    76   72
   Griffin   3    trapnet   blcr    72   72
   Griffin   6    trapnet   blcr    190     72
   Griffin   6    trapnet   blcr    196      72
   Griffin   6    trapnet   blcr    118      72
   Griffin   6    trapnet   blcr    81      72
   Griffin   6    trapnet   blcr    82      72
   Griffin   6    trapnet   blcr    79      72
   Griffin   6    trapnet   blcr    77      72
   Griffin   6    trapnet   blcr    83      72
   Griffin   6    trapnet   blcr    81      72
   Griffin   5    trapnet   blcr    170     72
   Griffin   2    trapnet   blcr    221     72
   Griffin   2    trapnet   blcr    164     72
   Griffin   2    trapnet   blcr    128     72
   Griffin   2    trapnet   blcr    131     72
   Griffin   2    trapnet   blcr    101     72
   Griffin   2    trapnet   blcr    86     72
   Griffin   2    trapnet   blcr    83     72
   Griffin   2    trapnet   blcr    77     72
   Griffin   2    trapnet   blcr    99      72
   Griffin   2    trapnet   blcr    97      72
   Griffin   2    trapnet   blcr    96      72
   Griffin   2    trapnet   blcr    87      72
   Griffin   2    trapnet   blcr    93      72
   Griffin   2    trapnet   blcr    86      72
   Griffin   2    trapnet   blcr    79      72
   Griffin   2    trapnet   blcr    97      72
   Griffin   2    trapnet   blcr    103     72
   Griffin   2    trapnet   blcr    82      72
   Griffin   2    trapnet   blcr    78      72
   Griffin   2    trapnet   blcr    86      72
   Griffin   2    trapnet   blcr    72      72
   Griffin   2    trapnet   blcr    92      72
   Griffin   2    trapnet   blcr    83      72
   Griffin   2    trapnet   blcr    67      72
   Griffin   2    trapnet   blcr    89      72
   Griffin   2    trapnet   blcr    85      72
   Griffin   2    trapnet   blcr    86      72
   Griffin   2    trapnet   blcr    80      72
   Griffin   2    trapnet   blcr    73      72
   Griffin   2    trapnet   blcr    75      72
   Griffin   100  trapnet   blc    .     72
   Griffin   101  trapnet   blc    .     72
   Griffin   102  trapnet   blc    .     72
   Griffin   103  trapnet   blc    .     72
   Griffin   1    trapnet   blcr    92    96
   Griffin   1    trapnet   blcr    89    96
   Griffin   1    trapnet   blcr    92    96
   Griffin   1    trapnet   blcr    92    96
   Griffin   1    trapnet   blcr    79    96
   Griffin   1    trapnet   blcr    95    96
   Griffin   1    trapnet   blcr    86    96
   Griffin   1    trapnet   blcr    104    96
   Griffin   1    trapnet   blcr    81    96
   Griffin   1    trapnet   blcr    92    96
   Griffin   1    trapnet   blcr    98    96
   Griffin   1    trapnet   blcr    101   96
   Griffin   1    trapnet   blcr    83     96
   Griffin   1    trapnet   blcr    86     96
   Griffin   1    trapnet   blcr    97     96
   Griffin   1    trapnet   blcr    102     96
   Griffin   1    trapnet   blcr    117     96
   Griffin   1    trapnet   blcr    111     96
   Griffin   1    trapnet   blcr    96     96
   Griffin   1    trapnet   blcr    98     96
   Griffin   1    trapnet   blcr    82     96
   Griffin   1    trapnet   blcr    98     96
   Griffin   1    trapnet   blcr    105     96
   Griffin   1    trapnet   blcr    119     96
   Griffin   1    trapnet   blcr    112     96
   Griffin   1    trapnet   blcr    117     96
   Griffin   1    trapnet   blcr    99     96
   Griffin   1    trapnet   blcr    114    96
   Griffin   1    trapnet   blcr    85     96
   Griffin   1    trapnet   blcr    113    96
   Griffin   1    trapnet   blcr    116    96
   Griffin   1    trapnet   blcr    96        96
   Griffin   1    trapnet   blcr    124     96
   Griffin   1    trapnet   blcr    72     96
   Griffin   1    trapnet   blcr    116      96
   Griffin   1    trapnet   blcr    102     96
   Griffin   1    trapnet   blcr    103      96
   Griffin   1    trapnet   blcr    100      96
   Griffin   1    trapnet   blcr    114      96
   Griffin   1    trapnet   blcr    114      96
   Griffin   1    trapnet   blcr    102      96
   Griffin   1    trapnet   blcr    91      96
   Griffin   1    trapnet   blcr    89      96
   Griffin   1    trapnet   blcr    92      96
   Griffin   1    trapnet   blcr    75      96
   Griffin   1    trapnet   blcr    87      96
   Griffin   1    trapnet   blcr    87      96
   Griffin   1    trapnet   blcr    102      96
   Griffin   1    trapnet   blcr    99      96
   Griffin   1    trapnet   blcr    92      96
   Griffin   1    trapnet   blcr    93      96
   Griffin   1    trapnet   blcr    115      96
   Griffin   1    trapnet   blcr    96      96
   Griffin   1    trapnet   blcr    81      96
   Griffin   1    trapnet   blcr    103      96
   Griffin   1    trapnet   blcr    82      96
   Griffin   1    trapnet   blcr    88      96
   Griffin   1    trapnet   blcr    91      96
   Griffin   1    trapnet   blcr    81      96
   Griffin   1    trapnet   blcr    116   96
   Griffin   1    trapnet   blcr    78   96
   Griffin   1    trapnet   blcr    119   96
   Griffin   1    trapnet   blcr    124     96
   Griffin   1    trapnet   blcr    111   96
   Griffin   1    trapnet   blcr    117   96
   Griffin   1    trapnet   blcr    80   96
   Griffin   1    trapnet   blcr    112   96
   Griffin   1    trapnet   blcr    80   96
   Griffin   1    trapnet   blcr    72   96
   Griffin   1    trapnet   blcr    117   96
   Griffin   1    trapnet   blcr    90   96
   Griffin   1    trapnet   blcr    82   96
   Griffin   1    trapnet   blcr    73   96
   Griffin   1    trapnet   blcr    117   96
   Griffin   1    trapnet   blcr    112   96
   Griffin   1    trapnet   blcr    83   96
   Griffin   1    trapnet   blcr    117   96
   Griffin   1    trapnet   blcr    116   96
   Griffin   1    trapnet   blcr    149    96
   Griffin   1    trapnet   blcr    103   96
   Griffin   1    trapnet   blcr    136     96
   Griffin   1    trapnet   blcr    183     96
   Griffin   1    trapnet   blcr    145     96
   Griffin   1    trapnet   blcr    114   96
   Griffin   1    trapnet   blcr    130     96
   Griffin   1    trapnet   blcr    140     96
   Griffin   1    trapnet   blcr    140     96
   Griffin   1    trapnet   blcr    165     96
   Griffin   1    trapnet   blcr    157     96
   Griffin   1    trapnet   blcr    147     96
   Griffin   1    trapnet   blcr    141   96
   Griffin   1    trapnet   blcr    165     96
   Griffin   1    trapnet   blcr    162     96
