SEX	MAT	MTL	Age
female	0	88	0
female	0	99	0
female	0	104	0
female	0	115	0
female	0	117	0
female	0	162	1
female	0	172	2
female	0	188	2
female	0	192	2
female	0	195	2
female	0	199	2
female	0	201	2
female	0	202	2
female	0	203	2
female	0	206	2
female	0	208	2
female	0	210	2
female	0	210	3
female	0	211	2
female	0	214	2
female	0	214	2
female	0	214	2
female	0	215	2
female	0	216	2
female	0	216	2
female	0	216	2
female	0	216	2
female	0	217	2
female	0	217	1
female	0	218	2
female	0	218	1
female	0	218	2
female	0	218	2
female	0	219	2
female	0	219	2
female	0	219	2
female	0	219	2
female	0	219	2
female	0	219	2
female	0	219	2
female	0	220	2
female	0	220	2
female	0	220	1
female	0	220	2
female	0	220	2
female	0	221	2
female	0	223	2
female	0	223	1
female	0	223	1
female	0	223	2
female	0	223	2
female	0	223	2
female	0	224	2
female	0	224	2
female	0	224	3
female	0	224	2
female	0	225	2
female	0	225	2
female	0	225	2
female	0	225	2
female	0	226	1
female	0	226	2
female	0	226	2
female	0	226	2
female	0	226	2
female	0	226	2
female	0	227	2
female	0	227	2
female	0	228	2
female	0	228	2
female	0	228	2
female	0	228	2
female	0	228	2
female	0	230	2
female	0	230	3
female	0	230	2
female	0	230	2
female	0	230	2
female	0	230	2
female	0	231	1
female	0	232	2
female	0	232	2
female	0	232	2
female	0	232	2
female	0	232	2
female	0	232	2
female	0	233	2
female	0	233	2
female	0	234	2
female	0	235	1
female	0	235	2
female	0	235	2
female	0	235	3
female	0	235	2
female	0	236	2
female	0	237	2
female	0	237	2
female	0	237	2
female	0	238	2
female	0	238	2
female	0	239	2
female	0	239	2
female	0	240	2
female	0	240	2
female	0	241	1
female	0	241	2
female	0	241	2
female	0	241	2
female	0	243	2
female	0	243	2
female	0	243	2
female	0	245	2
female	0	245	2
female	0	247	3
female	0	248	3
female	0	249	2
female	0	249	2
female	0	250	2
female	0	251	2
female	0	252	2
female	0	253	2
female	0	253	2
female	0	277	3
female	1	196	2
female	1	199	2
female	1	200	2
female	1	204	2
female	1	205	3
female	1	205	2
female	1	206	2
female	1	206	2
female	1	207	2
female	1	207	2
female	1	207	2
female	1	208	2
female	1	209	2
female	1	210	2
female	1	210	2
female	1	210	2
female	1	210	2
female	1	210	2
female	1	211	2
female	1	211	2
female	1	211	2
female	1	211	2
female	1	212	3
female	1	212	2
female	1	212	2
female	1	212	2
female	1	214	2
female	1	214	2
female	1	215	2
female	1	215	2
female	1	215	2
female	1	215	2
female	1	215	2
female	1	216	2
female	1	216	2
female	1	216	2
female	1	216	1
female	1	216	2
female	1	217	2
female	1	218	2
female	1	218	4
female	1	218	1
female	1	218	2
female	1	218	2
female	1	218	2
female	1	218	2
female	1	219	2
female	1	219	2
female	1	220	2
female	1	220	2
female	1	221	2
female	1	221	2
female	1	222	2
female	1	222	4
female	1	222	2
female	1	222	2
female	1	222	2
female	1	222	2
female	1	223	2
female	1	223	2
female	1	223	1
female	1	223	2
female	1	223	1
female	1	223	1
female	1	223	2
female	1	224	2
female	1	224	3
female	1	224	3
female	1	224	2
female	1	224	2
female	1	224	2
female	1	224	1
female	1	225	2
female	1	225	2
female	1	225	2
female	1	225	2
female	1	225	3
female	1	225	2
female	1	225	2
female	1	225	2
female	1	226	2
female	1	226	2
female	1	226	3
female	1	226	2
female	1	226	3
female	1	226	2
female	1	226	2
female	1	226	1
female	1	227	2
female	1	227	3
female	1	227	3
female	1	227	3
female	1	227	3
female	1	227	1
female	1	228	2
female	1	228	2
female	1	228	2
female	1	228	2
female	1	228	2
female	1	228	2
female	1	228	2
female	1	228	3
female	1	228	2
female	1	229	2
female	1	229	2
female	1	229	2
female	1	229	1
female	1	229	2
female	1	230	2
female	1	230	2
female	1	230	2
female	1	230	2
female	1	230	2
female	1	230	2
female	1	230	2
female	1	230	3
female	1	230	3
female	1	230	2
female	1	231	2
female	1	231	2
female	1	231	2
female	1	231	2
female	1	231	3
female	1	231	3
female	1	231	1
female	1	231	2
female	1	231	2
female	1	231	2
female	1	231	1
female	1	231	2
female	1	232	2
female	1	232	3
female	1	232	3
female	1	232	2
female	1	232	2
female	1	232	2
female	1	233	2
female	1	233	2
female	1	233	2
female	1	233	3
female	1	233	2
female	1	233	3
female	1	233	2
female	1	234	2
female	1	234	3
female	1	234	2
female	1	234	3
female	1	234	2
female	1	235	2
female	1	235	4
female	1	235	2
female	1	235	2
female	1	235	2
female	1	235	2
female	1	235	1
female	1	235	3
female	1	235	2
female	1	236	2
female	1	236	2
female	1	236	2
female	1	236	3
female	1	236	2
female	1	236	4
female	1	236	2
female	1	236	1
female	1	236	2
female	1	236	2
female	1	236	2
female	1	236	2
female	1	236	2
female	1	237	2
female	1	237	2
female	1	237	2
female	1	237	2
female	1	237	2
female	1	237	3
female	1	238	2
female	1	238	2
female	1	238	2
female	1	238	2
female	1	238	3
female	1	239	3
female	1	239	2
female	1	239	3
female	1	239	3
female	1	239	2
female	1	239	3
female	1	239	3
female	1	240	2
female	1	240	2
female	1	240	3
female	1	240	3
female	1	240	2
female	1	240	2
female	1	240	2
female	1	240	2
female	1	240	3
female	1	240	2
female	1	240	2
female	1	240	4
female	1	240	2
female	1	240	3
female	1	240	3
female	1	240	2
female	1	240	2
female	1	240	3
female	1	241	2
female	1	241	3
female	1	241	4
female	1	241	2
female	1	241	3
female	1	241	3
female	1	241	2
female	1	242	2
female	1	242	2
female	1	242	2
female	1	242	2
female	1	242	2
female	1	242	1
female	1	243	2
female	1	243	2
female	1	243	2
female	1	243	1
female	1	243	3
female	1	244	4
female	1	244	6
female	1	244	4
female	1	244	3
female	1	244	3
female	1	244	2
female	1	244	2
female	1	244	2
female	1	244	2
female	1	245	2
female	1	245	4
female	1	245	4
female	1	245	2
female	1	245	2
female	1	245	3
female	1	245	2
female	1	245	2
female	1	245	2
female	1	245	2
female	1	245	2
female	1	245	3
female	1	245	2
female	1	245	2
female	1	245	2
female	1	245	2
female	1	245	3
female	1	245	3
female	1	245	3
female	1	246	2
female	1	246	4
female	1	246	4
female	1	246	3
female	1	246	2
female	1	246	2
female	1	246	2
female	1	246	3
female	1	246	2
female	1	246	2
female	1	246	2
female	1	246	3
female	1	246	3
female	1	246	3
female	1	247	3
female	1	247	3
female	1	247	3
female	1	247	3
female	1	247	3
female	1	247	3
female	1	248	3
female	1	248	2
female	1	248	2
female	1	248	3
female	1	248	2
female	1	248	2
female	1	248	2
female	1	248	3
female	1	249	4
female	1	249	2
female	1	249	3
female	1	249	3
female	1	249	3
female	1	249	3
female	1	249	2
female	1	249	3
female	1	249	3
female	1	249	3
female	1	250	3
female	1	250	3
female	1	250	4
female	1	250	2
female	1	250	2
female	1	250	3
female	1	250	2
female	1	250	3
female	1	250	4
female	1	250	4
female	1	250	4
female	1	250	1
female	1	250	2
female	1	250	4
female	1	250	2
female	1	250	2
female	1	250	3
female	1	251	2
female	1	251	4
female	1	251	3
female	1	251	2
female	1	251	2
female	1	251	3
female	1	251	2
female	1	251	3
female	1	251	2
female	1	251	2
female	1	251	2
female	1	251	2
female	1	251	3
female	1	252	2
female	1	252	6
female	1	252	3
female	1	252	2
female	1	252	3
female	1	252	3
female	1	252	2
female	1	252	2
female	1	252	2
female	1	252	2
female	1	252	2
female	1	252	3
female	1	253	2
female	1	253	3
female	1	253	4
female	1	253	4
female	1	253	3
female	1	253	3
female	1	254	2
female	1	254	3
female	1	254	4
female	1	254	5
female	1	254	3
female	1	254	2
female	1	254	2
female	1	254	2
female	1	254	2
female	1	254	3
female	1	254	3
female	1	254	3
female	1	255	5
female	1	255	4
female	1	255	3
female	1	255	5
female	1	255	4
female	1	255	9
female	1	255	4
female	1	255	2
female	1	255	7
female	1	255	3
female	1	255	4
female	1	255	2
female	1	255	5
female	1	255	5
female	1	255	3
female	1	255	3
female	1	255	2
female	1	255	3
female	1	255	3
female	1	255	2
female	1	255	2
female	1	256	4
female	1	256	3
female	1	256	3
female	1	256	3
female	1	256	4
female	1	256	4
female	1	256	3
female	1	256	4
female	1	256	5
female	1	256	3
female	1	256	4
female	1	256	4
female	1	256	4
