Year	R	S
1958	4532	775
1959	22996	2310
1960	628	2990
1961	879	1400
1962	14747	1130
1963	13205	790
1964	31793	1195
1965	10621	981
1966	22271	870
1967	8736	1104
1968	8761	883
1969	18885	1421
1970	10098	1198
1971	3394	760
1972	1697	1354
1973	25159	1308
1974	14093	2016
1975	1932	962
1976	2292	976
1977	17386	1062
1978	5334	1945
1979	6957	2073
1980	1036	1458
1981	16345	946
1982	6149	1952
1983	10366	1280
1984	16795	851
1985	14599	394
1986	15299	2121
1987	13882	452
1988	4351	369
1989	4262	603
1990	35607	735
1991	4876	1261
